Id,Issue Type,Summary,Description,Priority,Labels 1,Labels 2
SEED-01,Bug,Le client ne reçoit pas le courriel de confirmation après l'ouverture d'un compte,"Après validation d'une demande d'ouverture de compte au guichet, le message électronique récapitulatif n'arrive jamais dans la boîte du client. Le dossier est pourtant créé et visible côté conseiller. Le client ne dispose d'aucune trace écrite de sa référence de dossier et rappelle l'agence pour l'obtenir. Le phénomène est constaté aussi bien sur des adresses professionnelles que personnelles.",High,parcours-client,notification
SEED-02,Bug,Aucun accusé d'inscription n'est transmis à l'issue de la souscription en ligne,"La souscription se termine par un écran de succès, mais le destinataire ne voit jamais arriver le message récapitulant les informations de son nouveau dossier. Les équipes support confirment que l'enregistrement est bien présent en base. L'usager se retrouve sans référence écrite et contacte le centre de relation clientèle. Le comportement est identique quel que soit le fournisseur de messagerie utilisé.",High,parcours-client,canaux
SEED-03,Bug,Le code à usage unique par SMS n'arrive pas au moment de valider un virement,"Lors de la confirmation d'un ordre de paiement vers un tiers, l'écran attend la saisie d'un code reçu par message court. Ce message n'est jamais délivré sur le mobile de l'utilisateur, qui ne peut donc pas aller au bout de l'opération. Une nouvelle demande d'envoi donne le même résultat. L'opération reste en attente puis expire au bout de quelques minutes.",High,authentification,paiement
SEED-04,Bug,La validation en deux étapes reste bloquée et empêche de finaliser un transfert,"Au dernier écran d'un transfert de fonds, le dispositif de vérification supplémentaire ne se débloque jamais : l'utilisateur attend indéfiniment l'élément de sécurité censé lui parvenir sur son téléphone. Aucune erreur explicite ne s'affiche. Le montant n'est pas débité et l'ordre disparaît de la liste des opérations en cours. Le problème se reproduit à chaque tentative.",High,authentification,mobile
SEED-05,Bug,La carte est bloquée après plusieurs saisies erronées du code confidentiel,"Trois saisies incorrectes du code secret entraînent une mise en opposition immédiate du support de paiement. Le client n'est pas informé du nombre de tentatives restantes avant le blocage, ni de la marche à suivre pour lever la restriction. Il découvre la situation lors d'un achat suivant. Aucun canal en libre-service ne permet de régulariser.",Medium,carte,parcours-client
SEED-06,Bug,Retrait impossible au distributeur après des essais infructueux au clavier,"Après quelques tentatives malheureuses de composition du numéro secret sur l'automate, l'appareil conserve l'instrument de paiement ou refuse toute nouvelle opération. L'usager n'a reçu aucun avertissement préalable sur le seuil au-delà duquel la restriction s'applique. Le rétablissement suppose un passage en agence aux heures ouvrables. Plusieurs usagers signalent la même séquence.",Medium,carte,agence
SEED-07,Bug,Le solde affiché dans l'application ne tient pas compte des opérations du jour,"Le montant présenté sur l'écran d'accueil du service mobile correspond à la situation de la veille au soir. Les mouvements enregistrés dans la journée n'y figurent pas, ce qui conduit certains clients à engager des dépenses au-delà de ce dont ils disposent réellement. L'écart se résorbe après le traitement de nuit. Aucune mention n'indique la date de dernière actualisation.",Medium,mobile,canaux
SEED-08,Bug,Écart entre le montant disponible annoncé au guichet et celui visible sur téléphone,"Le chiffre communiqué par le conseiller diffère de celui que le client consulte sur son terminal au même instant. La différence correspond aux mouvements passés depuis l'ouverture de la journée. Cette divergence provoque des contestations au comptoir et des demandes d'explication répétées. Le rapprochement redevient exact le lendemain matin.",Medium,agence,canaux
SEED-09,Bug,Le simulateur de prêt propose une mensualité différente de celle calculée par le conseiller,"Pour des paramètres identiques de montant, de durée et de taux, l'outil accessible au public annonce une échéance mensuelle inférieure à celle établie en agence. L'écart provient vraisemblablement de la prise en compte des frais annexes et de l'assurance. Le client arrive avec une attente chiffrée qui ne peut pas être tenue. Aucune mention ne précise le périmètre du calcul en libre-service.",Medium,credit,parcours-client
SEED-10,Bug,Divergence entre l'échéancier obtenu en ligne et le tableau d'amortissement remis en agence,"Le document produit par le parcours public et celui édité par le système de gestion ne présentent pas les mêmes montants pour les mêmes hypothèses de financement. La différence se répercute sur le coût total annoncé à l'emprunteur. Les conseillers passent du temps à justifier l'écart. Aucune règle documentée n'explique quelle version fait foi.",Medium,credit,agence
SEED-11,Bug,Un virement immédiat est refusé sans explication affichée,"L'ordre de paiement en temps réel se solde par un rejet, accompagné d'un libellé générique qui n'indique ni la cause ni l'action corrective. Le donneur d'ordre ignore s'il doit réessayer, modifier un paramètre ou contacter son agence. Les fonds ne sont pas débités. Le support ne dispose pas non plus du détail nécessaire pour répondre.",High,paiement,canaux
SEED-12,Bug,Le transfert en temps réel échoue avec un message d'erreur non exploitable,"La demande d'envoi instantané de fonds n'aboutit pas, et l'écran se contente d'un texte identique quelle que soit l'origine du problème. L'utilisateur ne peut pas distinguer une indisponibilité passagère d'un refus définitif. Aucune référence n'est proposée pour un suivi ultérieur. Les équipes internes doivent consulter les journaux techniques pour comprendre.",High,paiement,mobile
SEED-13,Bug,Aucune alerte n'est envoyée lors d'un paiement par carte à l'étranger,"Les opérations réalisées hors du territoire ne déclenchent pas l'avertissement attendu sur le téléphone du porteur. Le titulaire ne peut donc pas réagir rapidement à une utilisation qu'il n'aurait pas autorisée. Le paramétrage du service apparaît pourtant actif dans les préférences. Les opérations locales, elles, déclenchent bien un envoi.",Low,notification,carte
SEED-14,Bug,Les messages d'information sur les opérations internationales ne parviennent plus,"Les avis relatifs aux transactions effectuées dans un autre pays ont cessé d'être transmis aux clients concernés. Le service reste coché comme activé dans l'espace personnel. Aucun changement de préférence n'a été demandé par les intéressés. La surveillance des dépenses hors zone habituelle devient impossible sans consulter l'historique.",Low,notification,canaux
SEED-15,Task,Le renouvellement de la carte n'est pas proposé avant la date d'expiration,"Aucune démarche n'est offerte au client pour anticiper le remplacement de son instrument de paiement arrivant à échéance. Il découvre la situation lorsque celui-ci cesse de fonctionner. Un rappel programmé et une commande en libre-service éviteraient une rupture d'usage. Le service après-vente reçoit des appels évitables à chaque fin de validité.",Low,carte,parcours-client
SEED-16,Bug,Le libellé d'un virement est tronqué sur le relevé de compte,"Le texte saisi par le donneur d'ordre apparaît coupé au-delà d'un certain nombre de caractères sur le document restitué au bénéficiaire. L'information utile à l'identification du paiement disparaît. Les entreprises destinataires ne peuvent pas rapprocher les règlements de leurs factures. La limite appliquée n'est indiquée nulle part au moment de la saisie.",Low,paiement,documents
SEED-17,Bug,Le code guichet n'est pas contrôlé lors de l'ajout d'un bénéficiaire,"Les coordonnées bancaires saisies manuellement sont acceptées sans vérification de cohérence entre l'établissement et l'agence. Une erreur de frappe n'est détectée qu'au moment du rejet de l'opération, plusieurs jours plus tard. Le client croit son enregistrement valide. Un contrôle immédiat éviterait des paiements en échec.",Medium,paiement,parcours-client
SEED-18,Bug,Le relevé au format PDF n'affiche pas le solde d'ouverture de la période,"Le document téléchargeable commence directement par la liste des mouvements, sans rappeler la situation en début de période. La lecture du document ne permet donc pas de reconstituer la progression du compte sans se reporter au relevé précédent. Les clients qui archivent leurs documents signalent régulièrement le manque. La version papier comporte bien cette ligne.",Low,documents,canaux
SEED-19,Task,Le remboursement anticipé d'un crédit ne peut pas être demandé en ligne,"Aucun parcours en libre-service ne permet de solder par avance un financement en cours. Le client doit prendre rendez-vous ou écrire, ce qui allonge le délai et décourage la démarche. Le calcul des indemnités éventuelles n'est pas non plus consultable. Les demandes arrivent par des canaux non tracés.",Medium,credit,canaux
SEED-20,Task,Les notifications commerciales ne peuvent pas être désactivées séparément,"Le réglage disponible ne distingue pas les envois relatifs aux opérations de ceux qui relèvent de la promotion d'offres. Le client qui souhaite limiter les sollicitations coupe donc aussi les avis utiles au suivi de ses comptes. Une granularité par catégorie est demandée régulièrement. Un consentement distinct est par ailleurs attendu sur le plan réglementaire.",Low,notification,parcours-client
SEED-21,Bug,Le champ d'adresse refuse les libellés de plus de quarante caractères,"La saisie d'une nouvelle adresse est rejetée lorsque la voie dépasse la longueur autorisée, sans que cette limite soit annoncée. Les clients résidant dans des lotissements aux dénominations longues ne peuvent pas mettre à jour leur dossier. Le message affiché n'indique pas quel champ pose problème. Le contournement consiste à abréger, au risque d'un courrier non distribué.",Low,parcours-client,canaux
SEED-22,Bug,L'export des opérations ne conserve pas l'ordre chronologique,"Le fichier produit depuis l'historique présente les lignes dans un ordre qui ne correspond ni à la date de valeur ni à la date d'enregistrement. Les clients qui alimentent un tableur doivent retrier manuellement. L'ordre varie d'un export à l'autre pour une même période. Aucune colonne ne permet de reconstituer la séquence d'origine de façon fiable.",Low,historique,documents
SEED-23,Bug,La session expire pendant la saisie d'un mandat de prélèvement,"Le formulaire est long et la déconnexion automatique intervient avant que l'utilisateur ait pu le terminer. Les informations déjà renseignées sont perdues et tout est à recommencer. Aucun enregistrement intermédiaire n'est proposé. Le délai d'inactivité ne tient pas compte de la frappe en cours dans les champs.",Medium,parcours-client,canaux
SEED-24,Bug,Le tri par montant dans l'historique ignore les centimes,"Le classement des lignes s'effectue sur la partie entière uniquement, ce qui place des montants proches dans un ordre inattendu. Les clients qui recherchent une opération précise par son montant ne la trouvent pas à la position attendue. Le comportement diffère de celui du filtre par plage. La colonne affichée reste pourtant correcte.",Low,historique,mobile
SEED-25,Bug,Le lecteur de chèques ne reconnaît pas les montants manuscrits,"L'équipement de numérisation utilisé au comptoir échoue à interpréter les sommes écrites à la main lorsque l'écriture est penchée ou serrée. L'opérateur doit ressaisir la valeur, ce qui rallonge le temps de traitement et introduit un risque d'erreur. Le taux d'échec augmente en fin de journée. Aucun indicateur ne signale une lecture douteuse.",Medium,agence,documents
SEED-26,Bug,L'application se ferme à l'ouverture de la messagerie sécurisée,"L'accès à l'espace d'échange avec le conseiller provoque un arrêt immédiat du programme sur certains modèles de téléphone. Le client ne peut donc plus consulter les réponses qui lui sont adressées. Le redémarrage ne change rien. Les autres rubriques restent accessibles normalement.",High,mobile,canaux
