ticket_a,ticket_b,relation,justification
SEED-01,SEED-02,duplicate,"Même besoin : le message de confirmation d'ouverture de dossier n'est jamais délivré. Aucun mot significatif commun entre les deux résumés."
SEED-03,SEED-04,duplicate,"Même besoin : l'élément de vérification attendu sur mobile n'arrive pas et bloque la validation d'un paiement."
SEED-05,SEED-06,duplicate,"Même besoin : restriction de l'instrument de paiement après plusieurs saisies erronées, sans avertissement préalable ni voie de régularisation."
SEED-07,SEED-08,duplicate,"Même besoin : le montant disponible affiché ignore les mouvements du jour, d'où un écart perçu entre deux canaux."
SEED-09,SEED-10,duplicate,"Même besoin : le calcul de financement produit en libre-service diverge de celui établi en agence pour des hypothèses identiques."
SEED-11,SEED-12,duplicate,"Même besoin : rejet d'un paiement en temps réel assorti d'un motif générique qui ne permet aucune action corrective."
SEED-13,SEED-14,duplicate,"Même besoin : les avis relatifs aux opérations effectuées hors du pays ne sont plus transmis malgré un service actif."
SEED-05,SEED-15,unrelated,"Faux ami sur le mot carte : blocage après code erroné contre absence d'anticipation du renouvellement à échéance."
SEED-11,SEED-16,unrelated,"Faux ami sur le mot virement : rejet d'un ordre de paiement contre troncature d'un libellé sur un relevé."
SEED-03,SEED-17,unrelated,"Faux ami sur le mot code : code à usage unique non reçu contre code guichet non contrôlé à la saisie."
SEED-07,SEED-18,unrelated,"Faux ami sur le mot solde : fraîcheur du montant disponible contre absence de solde d'ouverture dans un document."
SEED-09,SEED-19,unrelated,"Faux ami sur le domaine du crédit : écart de simulation contre absence de remboursement anticipé en libre-service."
SEED-13,SEED-20,unrelated,"Faux ami sur le mot notification : avis d'opération manquants contre granularité insuffisante des envois commerciaux."
SEED-01,SEED-13,related,"Deux défauts de distribution d'un message sortant vers le client, sur des déclencheurs différents."
SEED-02,SEED-14,related,"Même famille : un envoi attendu n'est pas remis, avec un canal et un déclencheur distincts."
SEED-16,SEED-21,related,"Même classe de défaut : une limite de longueur non annoncée tronque ou refuse une saisie utilisateur."
SEED-22,SEED-30,related,"Toutes deux dégradent l'exploitation de l'historique sans empêcher l'opération bancaire elle-même."
SEED-25,SEED-30,unrelated,"Contrôle : reconnaissance de montants manuscrits contre recherche insensible aux accents."
SEED-23,SEED-27,unrelated,"Contrôle : expiration de session pendant une saisie contre horaires d'agence erronés."
SEED-24,SEED-28,unrelated,"Contrôle : tri ignorant les centimes contre taille maximale d'un document téléversé."
SEED-26,SEED-29,unrelated,"Contrôle : fermeture inopinée de l'application contre ventilation des frais mensuels."
SEED-17,SEED-27,unrelated,"Contrôle : contrôle de coordonnées bancaires contre information sur les jours fériés."
