query_id,query,expected_ticket_ids,piege_attendu,note
Q01,je n'ai jamais reçu le mail après avoir ouvert mon compte,SEED-01;SEED-02,,"Formulation client. Aucun mot du résumé de SEED-02 n'apparaît dans la requête."
Q02,impossible de valider mon paiement je n'obtiens pas le code sur mon téléphone,SEED-03;SEED-04,SEED-17,"SEED-17 partage le mot code et ne doit pas remonter devant la paire attendue."
Q03,ma carte ne marche plus après avoir tapé le mauvais code,SEED-05;SEED-06,SEED-15,"SEED-15 partage le mot carte sans traiter du blocage."
Q04,le montant affiché sur mon application n'est pas à jour,SEED-07;SEED-08,SEED-18,"SEED-18 partage le mot solde mais concerne un document PDF."
Q05,le calcul de mon prêt n'est pas le même en ligne et en agence,SEED-09;SEED-10,SEED-19,"SEED-19 relève du même domaine sans décrire un écart de calcul."
Q06,mon envoi d'argent instantané a été refusé sans raison,SEED-11;SEED-12,SEED-16,"SEED-16 partage le mot virement mais porte sur un libellé tronqué."
Q07,je ne suis plus prévenu quand je paie hors du pays,SEED-13;SEED-14,SEED-20,"SEED-20 partage le mot notification mais vise les envois commerciaux."
Q08,comment anticiper le remplacement de ma carte avant qu'elle expire,SEED-15,SEED-05;SEED-06,"Requête ciblée sur un seul ticket, dans une famille où deux doublons partagent le mot carte."
Q09,les informations de mon virement sont coupées sur le relevé,SEED-16,SEED-11;SEED-12,"Requête ciblée, à ne pas confondre avec les rejets de virement."
Q10,je veux rembourser mon prêt plus tôt sans passer en agence,SEED-19,SEED-09;SEED-10,"Requête ciblée dans le domaine du crédit."
Q11,je souhaite garder les alertes d'opération mais couper la publicité,SEED-20,SEED-13;SEED-14,"Requête ciblée, proche lexicalement de la famille des notifications d'opération."
Q12,mes documents scannés sont trop lourds pour être envoyés,SEED-28,,"Contrôle simple, sans faux ami connu dans le corpus."
Q13,l'application plante quand j'ouvre mes messages,SEED-26,,"Contrôle simple. La requête emploie plante là où le ticket dit se ferme."
Q14,je ne retrouve pas une opération quand je tape sans accent,SEED-30,SEED-22,"SEED-22 relève aussi de l'historique mais concerne l'ordre d'export."
